epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,564.918,0.91646,0.54179,1.20106,0.97098,0.91216,0.9684,0.65191,1.17629,0.54553,1.47956,0.0009968,0.0009968,0.0009968
78,572.246,0.91911,0.54204,1.19477,0.96061,0.91892,0.96599,0.65914,1.16368,0.52089,1.47328,0.0009836,0.0009836,0.0009836
79,579.611,0.91661,0.54474,1.18492,0.9626,0.86944,0.94395,0.64733,1.20681,0.59664,1.48627,0.0009704,0.0009704,0.0009704
80,586.848,0.91364,0.53709,1.19313,0.95781,0.92032,0.96382,0.66004,1.16212,0.56731,1.47812,0.0009572,0.0009572,0.0009572
81,594.135,0.89947,0.54558,1.1949,0.96703,0.92905,0.96828,0.66915,1.15387,0.49056,1.4775,0.000944,0.000944,0.000944
82,601.434,0.88622,0.53826,1.17109,0.96348,0.92568,0.96017,0.66624,1.16262,0.52468,1.49301,0.0009308,0.0009308,0.0009308
83,608.727,0.88794,0.5295,1.17498,0.92623,0.93919,0.96003,0.66545,1.16135,0.52263,1.48777,0.0009176,0.0009176,0.0009176
84,615.981,0.85382,0.51162,1.15337,0.95201,0.91554,0.96262,0.66663,1.15349,0.55248,1.47869,0.0009044,0.0009044,0.0009044
85,623.219,0.8761,0.52648,1.18034,0.94351,0.93243,0.95433,0.64337,1.19295,0.5327,1.52375,0.0008912,0.0008912,0.0008912
86,630.556,0.87053,0.52214,1.16731,0.9781,0.93243,0.96606,0.65474,1.13261,0.52366,1.44582,0.000878,0.000878,0.000878
87,637.912,0.90285,0.5301,1.18109,0.9545,0.92134,0.96339,0.65549,1.1284,0.54379,1.45115,0.0008648,0.0008648,0.0008648
88,645.215,0.85806,0.5186,1.15814,0.96126,0.92202,0.96174,0.64767,1.17009,0.54895,1.48224,0.0008516,0.0008516,0.0008516
89,652.48,0.86184,0.51144,1.17281,0.97085,0.91892,0.96753,0.65073,1.2057,0.54352,1.50227,0.0008384,0.0008384,0.0008384
90,659.736,0.84092,0.49452,1.14532,0.96994,0.92905,0.97338,0.65816,1.15569,0.48832,1.49049,0.0008252,0.0008252,0.0008252
91,666.933,0.84702,0.49742,1.15353,0.95855,0.9527,0.97139,0.65593,1.15205,0.50797,1.46241,0.000812,0.000812,0.000812
92,674.153,0.81866,0.48898,1.13472,0.97555,0.94366,0.96478,0.65558,1.16424,0.49263,1.48413,0.0007988,0.0007988,0.0007988
93,681.49,0.849,0.48681,1.1527,0.96881,0.94442,0.96499,0.66592,1.15029,0.51059,1.47732,0.0007856,0.0007856,0.0007856
94,688.755,0.83097,0.48726,1.1419,0.97557,0.94435,0.96968,0.64885,1.17895,0.52383,1.50044,0.0007724,0.0007724,0.0007724
95,696.013,0.81009,0.48567,1.13646,0.9604,0.92905,0.96832,0.65025,1.15886,0.5115,1.48797,0.0007592,0.0007592,0.0007592
96,703.341,0.82235,0.4915,1.14495,0.97158,0.93243,0.96631,0.65691,1.15894,0.50945,1.48851,0.000746,0.000746,0.000746
97,710.631,0.82152,0.48304,1.13379,0.96539,0.91554,0.9698,0.65681,1.14769,0.49716,1.46224,0.0007328,0.0007328,0.0007328
98,717.919,0.80049,0.47349,1.13316,0.9644,0.92905,0.96885,0.66975,1.13904,0.50357,1.49147,0.0007196,0.0007196,0.0007196
99,725.197,0.82466,0.47416,1.13203,0.97523,0.93096,0.97522,0.68191,1.13426,0.4879,1.46653,0.0007064,0.0007064,0.0007064
100,732.521,0.82311,0.47527,1.13725,0.96927,0.93243,0.97353,0.67264,1.15274,0.4957,1.48216,0.0006932,0.0006932,0.0006932
101,739.803,0.81261,0.46222,1.12808,0.96531,0.9402,0.97248,0.66982,1.15422,0.48277,1.48001,0.00068,0.00068,0.00068
